day_of_week,away_team,away_goals,home_team,home_goals,length_of_game_min,away_outcome,home_outcome,W,L,GDIFF,SOW%,PTS,PTS%,PP,PP%
4,8,3,31,4,150,0,1,37,38,46,57,81,49,41,18
5,18,3,2,6,152,0,1,37,35,49,25,84,51,46,22
5,11,5,4,9,160,0,1,49,27,53,83,104,64,61,25
5,28,4,9,1,156,1,0,40,30,51,37,92,56,58,23
5,26,2,10,1,164,1,0,51,23,55,28,110,67,62,23
5,24,2,13,4,140,0,1,27,49,42,75,60,36,32,14
5,8,2,14,3,161,0,1,37,38,46,57,81,49,41,18
5,27,2,15,4,150,0,1,54,21,55,75,115,70,63,27
5,12,4,20,3,174,1,0,58,18,58,42,122,75,64,24
5,0,1,23,4,139,0,1,31,37,46,44,76,46,48,21
5,5,7,25,2,148,1,0,54,20,58,33,116,71,51,21
5,6,4,29,5,153,0,1,28,42,42,75,68,41,47,19
5,17,3,30,4,150,0,1,27,46,44,37,63,38,35,15
6,7,2,14,3,163,0,1,56,19,57,66,119,73,67,24
6,15,2,17,3,162,0,1,22,49,40,60,55,33,34,13
6,21,4,16,5,149,0,1,25,46,41,20,61,37,30,12
6,26,4,18,1,159,1,0,51,23,55,28,110,67,62,23
6,3,4,19,5,145,0,1,32,39,44,50,75,46,47,21
6,10,2,22,11,154,0,1,32,40,42,60,74,45,37,16
6,12,2,27,5,152,0,1,58,18,58,42,122,75,64,24
6,1,1,31,2,147,0,1,25,50,40,20,57,35,28,13
0,3,6,6,5,143,1,0,32,39,44,50,75,46,47,21
0,1,1,11,6,145,0,1,25,50,40,20,57,35,28,13
0,24,6,13,1,150,1,0,27,49,42,75,60,36,32,14
0,28,1,25,4,139,0,1,40,30,51,37,92,56,58,23
0,5,6,30,1,145,1,0,54,20,58,33,116,71,51,21
1,9,3,0,2,150,1,0,46,30,48,71,98,60,54,22
1,27,6,2,4,154,1,0,54,21,55,75,115,70,63,27
1,18,4,8,3,142,1,0,37,35,49,25,84,51,46,22
1,7,2,4,1,160,1,0,56,19,57,66,119,73,67,24
1,15,4,12,7,159,0,1,22,49,40,60,55,33,34,13
1,21,1,14,4,145,0,1,25,46,41,20,61,37,30,12
1,20,1,16,4,161,0,1,33,42,45,60,73,44,47,19
1,19,3,22,2,137,1,0,52,24,55,57,110,67,55,25
1,5,3,26,4,157,0,1,54,20,58,33,116,71,51,21
2,23,2,1,5,143,0,1,32,37,44,50,77,47,41,18
2,31,3,3,2,150,1,0,39,32,49,33,89,54,52,21
2,19,5,10,4,147,1,0,52,24,55,57,110,67,55,25
2,13,3,11,4,158,0,1,44,27,50,50,99,61,40,16
2,29,3,24,0,139,1,0,43,31,51,50,94,57,39,18
2,25,4,28,3,142,1,0,49,22,56,40,109,67,65,26
3,9,3,0,2,150,1,0,46,30,48,71,98,60,54,22
3,17,1,2,8,169,0,1,27,46,44,37,63,38,35,15
3,15,0,5,4,150,0,1,22,49,40,60,55,33,34,13
3,13,3,4,2,154,1,0,44,27,50,50,99,61,40,16
3,23,2,7,4,145,0,1,32,37,44,50,77,47,41,18
3,6,0,12,4,150,0,1,28,42,42,75,68,41,47,19
3,22,4,14,3,161,1,0,46,25,54,30,103,63,50,20
3,8,2,18,5,139,0,1,37,38,46,57,81,49,41,18
3,31,3,27,7,159,0,1,39,32,49,33,89,54,52,21
4,0,5,1,0,147,1,0,31,37,46,44,76,46,48,21
4,16,3,3,4,142,0,1,45,30,51,66,97,59,63,24
4,20,5,10,2,152,1,0,33,42,45,60,73,44,47,19
4,25,5,11,6,154,0,1,49,22,56,40,109,67,65,26
4,18,3,19,0,141,1,0,37,35,49,25,84,51,46,22
4,29,5,24,2,149,1,0,43,31,51,50,94,57,39,18
4,6,2,26,5,144,0,1,28,42,42,75,68,41,47,19
5,8,2,2,5,143,0,1,37,38,46,57,81,49,41,18
5,14,3,5,1,155,1,0,53,22,55,55,113,69,53,20
5,25,6,4,4,152,1,0,49,22,56,40,109,67,65,26
5,22,2,7,3,157,0,1,46,25,54,30,103,63,50,20
5,12,7,17,6,149,1,0,58,18,58,42,122,75,64,24
5,27,6,21,3,144,1,0,54,21,55,75,115,70,63,27
5,9,5,23,4,139,1,0,46,30,48,71,98,60,54,22
5,15,5,26,4,163,1,0,22,49,40,60,55,33,34,13
5,13,3,31,2,145,1,0,44,27,50,50,99,61,40,16
6,11,6,0,1,150,1,0,49,27,53,83,104,64,61,25
6,12,5,3,3,149,1,0,58,18,58,42,122,75,64,24
6,1,3,6,2,150,1,0,25,50,40,20,57,35,28,13
6,18,4,17,3,146,1,0,37,35,49,25,84,51,46,22
6,21,4,19,3,160,1,0,25,46,41,20,61,37,30,12
6,10,2,20,5,147,0,1,32,40,42,60,74,45,37,16
6,9,1,24,4,147,0,1,46,30,48,71,98,60,54,22
6,29,3,28,2,147,1,0,43,31,51,50,94,57,39,18
6,14,5,30,1,148,1,0,53,22,55,55,113,69,53,20
0,2,3,8,2,165,1,0,51,26,53,50,107,65,50,21
0,4,3,13,2,150,1,0,50,21,58,50,111,68,54,22
0,1,1,25,5,139,0,1,25,50,40,20,57,35,28,13
0,27,6,26,2,151,1,0,54,21,55,75,115,70,63,27
1,5,2,3,4,145,0,1,54,20,58,33,116,71,51,21
1,18,2,9,3,144,0,1,37,35,49,25,84,51,46,22
1,2,3,10,5,155,0,1,51,26,53,50,107,65,50,21
1,27,6,12,7,169,0,1,54,21,55,75,115,70,63,27
1,20,6,15,3,147,1,0,33,42,45,60,73,44,47,19
1,19,3,17,1,140,1,0,52,24,55,57,110,67,55,25
1,14,2,16,6,163,0,1,53,22,55,55,113,69,53,20
1,8,4,21,2,144,1,0,37,38,46,57,81,49,41,18
1,7,6,22,4,151,1,0,56,19,57,66,119,73,67,24
1,11,2,23,1,140,1,0,49,27,53,83,104,64,61,25
2,4,4,0,2,141,1,0,50,21,58,50,111,68,54,22
2,24,1,25,4,141,0,1,27,49,42,75,60,36,32,14
2,28,5,29,1,140,1,0,40,30,51,37,92,56,58,23
2,10,3,31,1,141,1,0,32,40,42,60,74,45,37,16
2,26,3,30,4,158,0,1,51,23,55,28,110,67,62,23
3,28,5,1,1,134,1,0,40,30,51,37,92,56,58,23
