Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-10-29,Chicago Blackhawks,3,Carolina Hurricanes,6,,16434,2:30,
2021-10-29,Ottawa Senators,4,Dallas Stars,1,,17346,2:28,
2021-10-29,Florida Panthers,3,Detroit Red Wings,2,OT,15593,2:28,
2021-10-29,Columbus Blue Jackets,0,New York Rangers,4,,14532,2:24,
2021-10-29,Anaheim Ducks,4,Vegas Golden Knights,5,SO,18029,2:45,
2021-10-29,Arizona Coyotes,0,Washington Capitals,2,,18573,2:18,
2021-10-30,Florida Panthers,2,Boston Bruins,3,SO,17850,2:33,
2021-10-30,Philadelphia Flyers,0,Calgary Flames,4,,15319,2:29,
2021-10-30,Minnesota Wild,1,Colorado Avalanche,4,,17708,2:33,
2021-10-30,Montreal Canadiens,2,Los Angeles Kings,5,,12785,2:27,
2021-10-30,New York Islanders,2,Nashville Predators,3,SO,17159,2:43,
2021-10-30,New Jersey Devils,4,Pittsburgh Penguins,2,,17452,2:28,
2021-10-30,Winnipeg Jets,1,San Jose Sharks,2,OT,11845,2:22,
2021-10-30,Chicago Blackhawks,0,St. Louis Blues,1,,16856,2:24,
2021-10-30,Detroit Red Wings,4,Toronto Maple Leafs,5,,18921,2:23,
2021-10-30,Edmonton Oilers,2,Vancouver Canucks,1,,18422,2:22,
2021-10-31,Montreal Canadiens,2,Anaheim Ducks,4,,11652,2:23,
2021-10-31,Arizona Coyotes,1,Carolina Hurricanes,2,,14343,2:28,
2021-10-31,Buffalo Sabres,2,Los Angeles Kings,3,,12101,2:19,
2021-10-31,Columbus Blue Jackets,4,New Jersey Devils,3,SO,10239,2:36,
2021-10-31,New York Rangers,3,Seattle Kraken,1,,17151,2:26,
2021-11-01,Ottawa Senators,1,Chicago Blackhawks,5,,15946,2:18,
2021-11-01,Seattle Kraken,2,Edmonton Oilers,5,,15860,2:18,
2021-11-01,Washington Capitals,2,Tampa Bay Lightning,3,,19092,2:28,
2021-11-02,New Jersey Devils,0,Anaheim Ducks,4,,13252,2:27,
2021-11-02,Nashville Predators,3,Calgary Flames,2,OT,14324,2:28,
2021-11-02,Ottawa Senators,4,Minnesota Wild,5,OT,15276,2:43,
2021-11-02,Detroit Red Wings,0,Montreal Canadiens,3,,19547,2:23,
