day_of_week,away_team,home_team,length_of_game_min,outcome,home_wins,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,G,PPG,SHOOTOUTS
3,31,5,146,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
2,6,7,152,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
4,6,17,148,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,22,135,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
4,6,5,150,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,25,144,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
4,6,31,141,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
2,6,24,142,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,11,141,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
6,6,28,141,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
1,6,4,140,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,30,160,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,19,152,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
6,6,18,152,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,15,134,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,27,140,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,9,160,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,16,148,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,1,153,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,29,139,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
1,6,8,136,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
0,6,24,157,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,14,163,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
0,6,7,143,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
2,6,10,158,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
2,6,11,142,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,25,138,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
0,6,31,134,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,21,158,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,2,151,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,20,146,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,14,146,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
2,6,0,150,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,13,158,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,29,153,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,12,150,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
4,6,26,144,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,16,156,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
2,6,1,155,1,0,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
3,6,13,137,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,6,23,135,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
