away_team,away_goals,home_team,home_goals,length_of_game_min,outcome,home_wins,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,G,PPG,SHOOTOUTS,day_code
22,4.0,17,2.0,136.0,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,6
22,1.0,27,4.0,150.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,3
22,3.0,8,2.0,149.0,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,6
22,5.0,26,1.0,157.0,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,3
22,2.0,5,3.0,160.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,4
22,1.0,16,4.0,143.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,1
22,3.0,25,2.0,163.0,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,3
22,4.0,1,1.0,139.0,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,5
22,3.0,3,4.0,155.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,2
22,1.0,19,5.0,140.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,4
22,4.0,14,3.0,161.0,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,3
22,2.0,7,3.0,157.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,5
22,0.0,19,3.0,144.0,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,3
